id,iter,mst,cont,resp_time
0,0,master_stopped,controller_c,1.3109347820281982
1,1,master_stopped,controller_c,1.261653184890747
2,2,master_stopped,controller_c,1.3881680965423584
3,3,master_stopped,controller_c,1.2509708404541016
4,4,master_stopped,controller_c,1.3512403964996338
5,5,master_stopped,controller_c,1.4490396976470947
6,6,master_stopped,controller_c,1.2703347206115723
7,7,master_stopped,controller_c,1.3588979244232178
8,8,master_stopped,controller_c,1.294203281402588
9,9,master_stopped,controller_c,1.4990019798278809
10,0,master_stopped,controller_go,1.3618884086608887
11,1,master_stopped,controller_go,1.3136122226715088
12,2,master_stopped,controller_go,1.4824342727661133
13,3,master_stopped,controller_go,1.4452764987945557
14,4,master_stopped,controller_go,1.245589256286621
15,5,master_stopped,controller_go,1.2771975994110107
16,6,master_stopped,controller_go,1.4699435234069824
17,7,master_stopped,controller_go,1.3352773189544678
18,8,master_stopped,controller_go,1.298588752746582
19,9,master_stopped,controller_go,1.3051466941833496
20,0,master_stopped,controller_rs,1.3557705879211426
21,1,master_stopped,controller_rs,1.3917691707611084
22,2,master_stopped,controller_rs,1.2634825706481934
23,3,master_stopped,controller_rs,1.31003737449646
24,4,master_stopped,controller_rs,1.2828233242034912
25,5,master_stopped,controller_rs,1.4131994247436523
26,6,master_stopped,controller_rs,1.5070981979370117
27,7,master_stopped,controller_rs,1.3527414798736572
28,8,master_stopped,controller_rs,1.2995452880859375
29,9,master_stopped,controller_rs,1.315920114517212
